string,prefix,word,sep,pos,year,rel_freq
supernaturel,super,naturel,FUSION,Adj_Nom,1817,0.006129406606629946
supernaturelle,super,naturelle,FUSION,Adj_Nom,1817,0.01838821981988984
superville,super,ville,FUSION,Nom,1817,0.055164659459669516
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1817,0.012258813213259893
ultra pur,ultra,pur,ESPACE,Adj_Nom,1817,0.006129406606629946
ultra révolutionnaire,ultra,révolutionnaire,ESPACE,Adj_Nom,1817,0.006129406606629946
ultra révolutionnaires,ultra,révolutionnaires,ESPACE,Adj_Nom,1817,0.03677643963977968
archi - catholique,archi,catholique,TIRET,Adj_Nom,1817,0.006129406606629946
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1817,0.006129406606629946
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1817,0.012258813213259893
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1818,0.009108919992794116
superfin,super,fin,FUSION,Adj_Nom_Adv,1818,0.11841595990632348
superfines,super,fines,FUSION,Adj_Nom,1818,0.08198027993514702
superfins,super,fins,FUSION,Adj_Nom,1818,0.031881219974779405
supernaturelle,super,naturelle,FUSION,Adj_Nom,1818,0.02277229998198529
supersaturation,super,saturation,FUSION,Nom,1818,0.04554459996397058
superville,super,ville,FUSION,Nom,1818,0.009108919992794116
ultracatholique,ultra,catholique,FUSION,Adj_Nom,1818,0.004554459996397058
ultracatholiques,ultra,catholiques,FUSION,Adj_Nom,1818,0.004554459996397058
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1818,0.013663379989191171
super fine,super,fine,ESPACE,Adj_Nom,1818,0.004554459996397058
extra - fines,extra,fines,TIRET,Adj_Nom,1818,0.009108919992794116
ultra - catholiques,ultra,catholiques,TIRET,Adj_Nom,1818,0.009108919992794116
ultra - civilisé,ultra,civilisé,TIRET,Vrb_Nom_Adj,1818,0.004554459996397058
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1818,0.013663379989191171
ultra - libéralisme,ultra,libéralisme,TIRET,Nom,1818,0.013663379989191171
ultra - patriotisme,ultra,patriotisme,TIRET,Nom,1818,0.004554459996397058
ultra - pur,ultra,pur,TIRET,Adj_Nom,1818,0.004554459996397058
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1818,0.04554459996397058
extrafin,extra,fin,FUSION,Adj_Nom_Adv,1819,0.027419026903357263
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1819,0.011751011530010257
hyperorganique,hyper,organique,FUSION,Adj,1819,0.01566801537334701
hyperphysique,hyper,physique,FUSION,Adj_Nom,1819,0.003917003843336753
superfin,super,fin,FUSION,Adj_Nom_Adv,1819,0.17626517295015384
superfines,super,fines,FUSION,Adj_Nom,1819,0.1135931114567658
superfins,super,fins,FUSION,Adj_Nom,1819,0.1958501921668376
supernaturaliste,super,naturaliste,FUSION,Adj_Nom,1819,0.007834007686673505
supernaturalistes,super,naturalistes,FUSION,Adj_Nom,1819,0.01566801537334701
supernaturelle,super,naturelle,FUSION,Adj_Nom,1819,0.02350202306002051
supersaturation,super,saturation,FUSION,Nom,1819,0.003917003843336753
supersensibles,super,sensibles,FUSION,Adj_Nom,1819,0.003917003843336753
ultracatholique,ultra,catholique,FUSION,Adj_Nom,1819,0.003917003843336753
ultralibérale,ultra,libérale,FUSION,Adj_Nom,1819,0.003917003843336753
ultrarévolutionnaire,ultra,révolutionnaire,FUSION,Adj_Nom,1819,0.007834007686673505
super fine,super,fine,ESPACE,Adj_Nom,1819,0.003917003843336753
ultra catholiques,ultra,catholiques,ESPACE,Adj_Nom,1819,0.003917003843336753
ultra pour,ultra,pour,ESPACE,Adv_Nom,1819,0.011751011530010257
extra - fin,extra,fin,TIRET,Adj_Nom_Adv,1819,0.09400809224008204
extra - fine,extra,fine,TIRET,Adj_Nom,1819,0.003917003843336753
extra - fins,extra,fins,TIRET,Adj_Nom,1819,0.03133603074669402
super - sécrétion,super,sécrétion,TIRET,Nom,1819,0.003917003843336753
ultra - catholique,ultra,catholique,TIRET,Adj_Nom,1819,0.003917003843336753
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1819,0.03525303459003076
ultra - libéralisme,ultra,libéralisme,TIRET,Nom,1819,0.003917003843336753
ultra - réactionnaire,ultra,réactionnaire,TIRET,Adj_Nom,1819,0.003917003843336753
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1819,0.04308704227670427
superfin,super,fin,FUSION,Adj_Nom_Adv,1820,0.14477873689196202
superfines,super,fines,FUSION,Adj_Nom,1820,0.1277459443164371
superfins,super,fins,FUSION,Adj_Nom,1820,0.3874960310931925
ultralibéral,ultra,libéral,FUSION,Adj_Nom,1820,0.008516396287762474
ultrarévolutionnaire,ultra,révolutionnaire,FUSION,Adj_Nom,1820,0.008516396287762474
ultrarévolutionnaires,ultra,révolutionnaires,FUSION,Adj_Nom,1820,0.004258198143881236
super fin,super,fin,ESPACE,Adj_Nom_Adv,1820,0.004258198143881236
ultra pour,ultra,pour,ESPACE,Adv_Nom,1820,0.017032792575524945
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1820,0.017032792575524945
ultra - protecteur,ultra,protecteur,TIRET,Adj_Nom,1820,0.017032792575524945
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1820,0.07664756658986226
superfin,super,fin,FUSION,Adj_Nom_Adv,1821,0.19556866922396374
superfines,super,fines,FUSION,Adj_Nom,1821,0.07205161497724981
superfins,super,fins,FUSION,Adj_Nom,1821,0.03431029284630943
supernaturaliste,super,naturaliste,FUSION,Adj_Nom,1821,0.0240172049924166
supernutrition,super,nutrition,FUSION,Nom,1821,0.010293087853892827
superstimulation,super,stimulation,FUSION,Nom,1821,0.027448234277047543
supersécrétion,super,sécrétion,FUSION,Nom,1821,0.07205161497724981
supersécrétions,super,sécrétions,FUSION,Vrb_Nom,1821,0.013724117138523772
superville,super,ville,FUSION,Nom,1821,0.0480344099848332
ultrarévolutionnaire,ultra,révolutionnaire,FUSION,Adj_Nom,1821,0.006862058569261886
super fine,super,fine,ESPACE,Adj_Nom,1821,0.013724117138523772
ultra fines,ultra,fines,ESPACE,Adj_Nom,1821,0.010293087853892827
ultra pour,ultra,pour,ESPACE,Adv_Nom,1821,0.003431029284630943
ultra rouges,ultra,rouges,ESPACE,Adj_Nom,1821,0.010293087853892827
extra - fin,extra,fin,TIRET,Adj_Nom_Adv,1821,0.006862058569261886
extra - fines,extra,fines,TIRET,Adj_Nom,1821,0.010293087853892827
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1821,0.0240172049924166
ultra - libéralisme,ultra,libéralisme,TIRET,Nom,1821,0.003431029284630943
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1821,0.013724117138523772
archicourt,archi,court,FUSION,Vrb_Nom_Adv_Adj,1822,0.0034151040846543647
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1822,0.0034151040846543647
hypernormale,hyper,normale,FUSION,Adj_Nom,1822,0.017075520423271828
superfin,super,fin,FUSION,Adj_Nom_Adv,1822,0.13318905930152025
superfines,super,fines,FUSION,Adj_Nom,1822,0.030735936761889286
superfins,super,fins,FUSION,Adj_Nom,1822,0.030735936761889286
supernutrition,super,nutrition,FUSION,Nom,1822,0.0034151040846543647
supersaturation,super,saturation,FUSION,Nom,1822,0.10245312253963096
supersensibles,super,sensibles,FUSION,Adj_Nom,1822,0.023905728592580555
supersécrétion,super,sécrétion,FUSION,Nom,1822,0.013660416338617459
supersécrétions,super,sécrétions,FUSION,Vrb_Nom,1822,0.013660416338617459
superville,super,ville,FUSION,Nom,1822,0.05122656126981548
ultracatholiques,ultra,catholiques,FUSION,Adj_Nom,1822,0.0034151040846543647
super fin,super,fin,ESPACE,Adj_Nom_Adv,1822,0.006830208169308729
super - sécrétion,super,sécrétion,TIRET,Nom,1822,0.013660416338617459
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1822,0.0580567694391242
ultra - libéralisme,ultra,libéralisme,TIRET,Nom,1822,0.006830208169308729
extrafrais,extra,frais,FUSION,Adj_Nom_Adv,1823,0.003176660127585916
hypercritiques,hyper,critiques,FUSION,Vrb_Nom_Adj,1823,0.006353320255171832
hypernormale,hyper,normale,FUSION,Adj_Nom,1823,0.012706640510343665
hyperorganique,hyper,organique,FUSION,Adj,1823,0.01588330063792958
hyperorganiques,hyper,organiques,FUSION,Adj,1823,0.003176660127585916
hyperphysique,hyper,physique,FUSION,Adj_Nom,1823,0.012706640510343665
hyperstimulation,hyper,stimulation,FUSION,Nom,1823,0.04447324178620282
superfin,super,fin,FUSION,Adj_Nom_Adv,1823,0.17471630701722538
superfines,super,fines,FUSION,Adj_Nom,1823,0.08576982344481973
superfins,super,fins,FUSION,Adj_Nom,1823,0.2509561500792874
supernaturelle,super,naturelle,FUSION,Adj_Nom,1823,0.003176660127585916
supersaturation,super,saturation,FUSION,Nom,1823,0.06353320255171832
superstimulation,super,stimulation,FUSION,Nom,1823,0.012706640510343665
supersécrétion,super,sécrétion,FUSION,Nom,1823,0.07306318293447607
supersécrétions,super,sécrétions,FUSION,Vrb_Nom,1823,0.012706640510343665
super fin,super,fin,ESPACE,Adj_Nom_Adv,1823,0.003176660127585916
super fine,super,fine,ESPACE,Adj_Nom,1823,0.003176660127585916
ultra fines,ultra,fines,ESPACE,Adj_Nom,1823,0.003176660127585916
extra - fines,extra,fines,TIRET,Adj_Nom,1823,0.003176660127585916
hyper - métaphysique,hyper,métaphysique,TIRET,Vrb_Nom_Adj,1823,0.01588330063792958
hyper - organiques,hyper,organiques,TIRET,Adj,1823,0.003176660127585916
ultra - catholiques,ultra,catholiques,TIRET,Adj_Nom,1823,0.012706640510343665
ultra - libéral,ultra,libéral,TIRET,Adj_Nom,1823,0.003176660127585916
ultra - politique,ultra,politique,TIRET,Vrb_Nom_Adj,1823,0.012706640510343665
ultra - romantique,ultra,romantique,TIRET,Adj_Nom,1823,0.003176660127585916
ultra - révolutionnaire,ultra,révolutionnaire,TIRET,Adj_Nom,1823,0.019059960765515496
archicatholiques,archi,catholiques,FUSION,Adj_Nom,1824,0.04191025769930131
archicon,archi,con,FUSION,Adj_Nom,1824,0.0027940171799534213
extrafin,extra,fin,FUSION,Adj_Nom_Adv,1824,0.016764103079720524
extrafine,extra,fine,FUSION,Adj_Nom,1824,0.0027940171799534213
extrafines,extra,fines,FUSION,Adj_Nom,1824,0.03352820615944105
hyperorganiques,hyper,organiques,FUSION,Adj,1824,0.008382051539860262
hyperphysique,hyper,physique,FUSION,Adj_Nom,1824,0.008382051539860262
hyperstimulation,hyper,stimulation,FUSION,Nom,1824,0.005588034359906843
superfin,super,fin,FUSION,Adj_Nom_Adv,1824,0.2570495805557147
superfines,super,fines,FUSION,Adj_Nom,1824,0.4330726628927801
